power_roi,power_x,power_y,power_z,matched_region_value,matched_region_name,matched_region_x,matched_region_y,matched_region_z,distance_mm
1,-25,-98,-12,5301.0,Region_5301.0,-36.48246546227418,-79.56854410201913,-9.164718384697132,21.899872178841765
2,27,-97,-13,5302.0,Region_5302.0,37.870576339737106,-83.19110212335693,-8.99292214357937,18.02530897025142
3,24,32,-18,2112.0,Region_2112.0,18.17853560682046,46.61785356068205,-15.494483450351055,15.932630152713859
4,-56,-45,-24,8301.0,Region_8301.0,-50.036249999999995,-29.291875000000005,-24.519374999999997,16.810153344593555
5,8,41,-24,2702.0,Region_2702.0,8.002684563758393,34.451006711409406,-19.436241610738257,7.98230611643303
6,-21,-22,-20,4111.0,Region_4111.0,-21.492842535787318,-17.29243353783231,-21.918200408997954,5.107207511927356
7,17,-28,-17,9022.0,Region_9022.0,13.062801932367151,-35.710144927536234,-20.59903381642512,9.375548402048603
8,-37,-29,-26,8301.0,Region_8301.0,-50.036249999999995,-29.291875000000005,-24.519374999999997,13.123309623290533
9,65,-24,-19,8302.0,Region_8302.0,53.38206353668822,-32.13888107956143,-23.730671914534717,14.953163198994384
10,52,-34,-27,8302.0,Region_8302.0,53.38206353668822,-32.13888107956143,-23.730671914534717,4.007788590466029
11,55,-31,-17,8302.0,Region_8302.0,53.38206353668822,-32.13888107956143,-23.730671914534717,7.015462417674495
12,34,38,-12,2322.0,Region_2322.0,40.9103690685413,30.99472759226714,-13.258347978910372,9.92020573405731
13,-7,-52,61,6301.0,Region_6301.0,-7.590702947845799,-57.324829931972786,46.64002267573696,15.326829174045615
14,-14,-18,40,4011.0,Region_4011.0,-5.882534775888715,-16.1009788768676,40.21432251416796,8.339391886153233
15,0,-15,47,4011.0,Region_4011.0,-5.882534775888715,-16.1009788768676,40.21432251416796,9.047750483881426
16,10,-2,45,4012.0,Region_4012.0,7.664094416704501,-10.197004085338179,38.43758511121199,10.75698006141633
17,-7,-21,65,6401.0,Region_6401.0,-7.974796145292814,-26.650852483320975,68.6923647146034,6.820257949577919
18,-7,-33,72,6401.0,Region_6401.0,-7.974796145292814,-26.650852483320975,68.6923647146034,7.225119576493514
19,13,-33,75,6402.0,Region_6402.0,7.126794258373209,-32.942583732057415,66.79186602870814,10.093131605303569
20,-54,-23,43,6001.0,Region_6001.0,-42.90441932168551,-23.7754367934224,47.4568345323741,11.982344798016012
21,29,-17,71,2002.0,Region_2002.0,41.100857734398105,-9.549837326234837,50.80981958000592,24.689655063722913
22,10,-46,73,6402.0,Region_6402.0,7.126794258373209,-32.942583732057415,66.79186602870814,14.740839807607871
23,-23,-30,72,6401.0,Region_6401.0,-7.974796145292814,-26.650852483320975,68.6923647146034,15.745284727345695
24,-40,-19,54,6001.0,Region_6001.0,-42.90441932168551,-23.7754367934224,47.4568345323741,8.605432150733893
25,29,-39,59,6002.0,Region_6002.0,41.15825268114047,-26.772691603452785,51.25398901386346,18.903197218462317
26,50,-20,42,6002.0,Region_6002.0,41.15825268114047,-26.772691603452785,51.25398901386346,14.48040606732923
27,-38,-27,69,6001.0,Region_6001.0,-42.90441932168551,-23.7754367934224,47.4568345323741,22.328437364080028
28,20,-29,60,6402.0,Region_6402.0,7.126794258373209,-32.942583732057415,66.79186602870814,15.079550281837204
29,44,-8,57,2002.0,Region_2002.0,41.100857734398105,-9.549837326234837,50.80981958000592,7.008948226807507
30,-29,-43,61,6101.0,Region_6101.0,-23.713317191283295,-60.807748184019374,57.657142857142844,18.874310699545486
31,10,-17,74,6402.0,Region_6402.0,7.126794258373209,-32.942583732057415,66.79186602870814,17.73072143584323
32,22,-42,69,6402.0,Region_6402.0,7.126794258373209,-32.942583732057415,66.79186602870814,17.553486665580838
33,-45,-32,47,6001.0,Region_6001.0,-42.90441932168551,-23.7754367934224,47.4568345323741,8.499623292139745
34,-21,-31,61,6401.0,Region_6401.0,-7.974796145292814,-26.650852483320975,68.6923647146034,15.739869582718585
35,-13,-17,75,6401.0,Region_6401.0,-7.974796145292814,-26.650852483320975,68.6923647146034,12.576879196754927
